rule_id,prefix,layer,page_type,subject,component,state,property_name,condition_if,then_clause,else_clause,default_value,preferred_pattern,anti_pattern,evidence,source_ref
LAY-011,LAY,global,all,删除标题和搜索/表单区域之间以及表格工具栏和表格之间的分隔线,table,default,logical-assertion,如果 对象 = 页面布局分隔线搜索表单 且 规则 = 删除标题和搜索/表单区域之间以及表格工具栏和表格之间的分隔线,则页面标题和搜索/表单区域之间以及表格工具栏和表格之间不应有分隔线,否则不要添加不必要的分隔线，以免造成视觉混乱,,删除这些部分之间的边框底部或分隔符样式,不要添加不必要的分隔线，以免造成视觉混乱,适用于所有具有搜索区域表单区域和表格的页面,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-011
LAY-012,LAY,global,all,使用 bg-white 进行搜索/筛选和表单区域,form,default,background-color,如果 对象 = 搜索筛选器表单区域 且 规则 = 使用 bg-white 进行搜索/筛选器和表单区域,则搜索区域、筛选区域、表单区域背景应使用 bg-white (#FFFFFF),否则 搜索筛选器表单 查询条件屏幕 搜索框 筛选器框 输入区域 控制区域 区域不使用任意背景颜色,#FFFFFF,将 color-bg-secondary 应用到搜索筛选器表单查询条件屏幕搜索框筛选器框输入区域控制区域容器,搜索筛选器表单查询条件屏幕搜索框筛选器框输入区域控制区域区域请勿使用任意背景颜色,适用于所有搜索筛选表单 查询条件屏幕 搜索框 筛选框 输入区域 控制区域,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-012
LAY-013,LAY,global,all,使用 space-6 水平间距和 space-5 垂直间距作为搜索/表单条件,form,default,spacing,如果 对象 = 搜索表单条件布局 且 规则 = 对搜索/表单条件使用 space-6 水平间距和 space-5 垂直间距,则搜索条件和表单字段应具有 24px (space-6) 水平间距和 20px (space-5) 垂直间距,否则请勿在搜索条件或表单字段之间使用不一致的间距,24px|20px,对于搜索条件和表单字段，使用水平间距为 24 px、垂直间距为 20 px的网格或 Flex,不要在搜索条件或表单字段之间使用不一致的间距,适用于所有搜索和表单条件布局,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-013
LAY-014,LAY,global,all,在页面标题和搜索/表单区域之间使用 space-5 (20px) 间距,form,default,spacing,如果 对象 = 页面标题搜索表单间距并 且 规则 = 在页面标题和搜索/表单区域之间使用 space-5 (20px) 间距,则页面标题和搜索/表单区域之间应该有 20px (space-5) 的间距,否则不要在页面标题和搜索/表单区域之间使用任意间距,20px,在标题上使用 20 px的下边距，在搜索/表单区域上使用 20 px的上边距,不要在页面标题和搜索/表单区域之间使用任意间距,适用于所有带有搜索或表单区域的页面,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-014
LAY-015,LAY,global,all,对卡片和可折叠面板使用 5 格垂直和 6 格水平padding,collapse,default,spacing,如果 对象 = 卡片可折叠面板padding 且 规则 = 对卡片和可折叠面板使用 space-5 垂直padding和 space-6 水平padding,则卡片和可折叠面板容器应具有 20 px（空格 5）顶部/底部和 24 px（空格 6）左/右padding,否则不要对卡片或可折叠面板使用任意padding值,20px|24px,将 20 px顶部/底部和 24 px左/右padding应用于卡片容器和可折叠面板,不要对卡片或可折叠面板使用任意padding值,适用于所有内容卡和可折叠面板,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-015
DET-001,DET,global,detail-page,概述区域是详细页面中的必填部分,card,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页概述标题卡 且 规则 = 概述区域是详情页中的必填部分,则概述区域（详情页标题卡）是必填部分，介绍页面标题和基本信息,否则不要省略概述区域或用非标准标题替换它,,始终将概述区域作为详情页的第一部分,不要省略概述区域或用非标准标题替换它,必填部分；元素 ID：1a、1、2、3、13、4,enterprise-vue-refiner/data/global-layout-rules.csv#DET-001
DET-002,DET,global,detail-page,使用 40px × 40px 作为概览图标/头像尺寸,,default,icon,如果 页面类型 = 详情页 且 对象 = 详情页概览区域图标徽标头像 且 规则 = 使用 40px × 40px 的概览图标/头像尺寸,则详情页概览区域中的图标/徽标/头像应为 40px x 40px；支持自定义图像,否则不要使用任意或超大的图标/头像尺寸,40px × 40px,将图标/头像容器设置为 40px × 40px，并带有适合对象的封面,不要使用任意或过大的图标/头像尺寸,可选元素（1）；支持自定义图像,enterprise-vue-refiner/data/global-layout-rules.csv#DET-002
DET-003,DET,global,detail-page,标题区域为必填项，主标题为必填项，副标题为可选项,,default,width,如果 页面类型 = 详细页面并 且 对象 = 详细页面概述标题区域 且 规则 = 标题区域是必需的，主标题是强制的，副标题是可选的,则概述中的标题区域是必需的；主标题为必填项；副标题是可选的；支持标签和收藏功能（最多5个）；标签内容宽度最大 120px,否则请勿省略主标题或允许超过 5 个标签或宽度超过 120 px的标签,main title required|max 5 tags|120px,始终渲染主标题；仅在提供时显示字幕；将标签限制为 5 个，每个标签的最大宽度为 120px,请勿省略主标题或允许超过 5 个标签或标签宽度超过 120 px,必需的元素（2）；支持标签和收藏夹/书签,enterprise-vue-refiner/data/global-layout-rules.csv#DET-003
DET-004,DET,global,detail-page,将基本信息限制为 6 个项目，宽度为 160 px，间距为 32 px,,default,width,如果 页面类型 = 详情页并 且 对象 = 详情页概述基本信息区域 且 规则 = 将基本信息限制为 6 个项目，宽度为 160 px，间距为 32 px,则基本信息不能超过6项；每个项目内容宽度不应超过160px，并省略溢出；项目之间的间距应为 32px,否则不允许超过 6 个基本信息项或使用不一致的间距或让文本溢出而没有省略号,6 items|160px|32px,每个项目使用最大宽度 160 px，并使用文本溢出省略号和项目之间的 32 px间隙；上限为 6 项,不允许超过 6 个基本信息项或使用不一致的间距或让文本溢出而没有省略号,可选元素（3）；溢出显示省略号,enterprise-vue-refiner/data/global-layout-rules.csv#DET-004
DET-005,DET,global,detail-page,备注区域使用标题间距 16px，默认文字颜色 #161E26,,default,color,如果 页面类型 = 详情页 且 对象 = 详情页概述备注区域备注链接图标 且 规则 = 备注区域使用标题间距 16 px和默认文本颜色 #161E26,则备注区域与标题区域的间距应为16px；默认文字颜色为#161E26；链接颜色可以是#0067D1或#46515D；支持标签/辅助文本/帮助图标/跳转链接,否则请勿在备注和标题区域之间使用任意颜色或间距,#161E26|#0067D1|#46515D|16px,从标题应用 16px 上边距；将默认文本颜色设置为#161E26；使用 #0067D1 或 #46515D 作为链接或辅助文本,请勿在备注和标题区域之间使用任意颜色或间距,可选元件（13）；支持标签/文本/帮助图标/链接,enterprise-vue-refiner/data/global-layout-rules.csv#DET-005
DET-006,DET,global,detail-page,当超过 3 个时，将多余的功能图标折叠到更多菜单中,collapse,default,icon,如果 页面类型 = 详细页面 且 对象 = 详细页面概述功能区域共享如更多 且 规则 = 当超过 3 个时将多余的功能图标折叠到更多菜单中,则 当功能区图标超过 3 项时，应折叠成更多菜单；可以用下拉筛选器替换,否则 如果没有“更多”溢出菜单，请勿显示超过 3 个图标,3 icons max,直接显示最多3个图标；将其他图标包装到更多/下拉菜单中,如果没有“更多”溢出菜单，请勿显示超过 3 个图标,可选元素（4）；支持分享/点赞/共同操作,enterprise-vue-refiner/data/global-layout-rules.csv#DET-006
DET-007,DET,global,detail-page,内容区域是支持单选项卡或单容器模式的必需部分,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容区域选项卡容器 且 规则 = 内容区域是支持单选项卡或单容器模式的必需部分,则内容区域为必填项；支持单tab操作和单容器操作,否则不要省略内容区域或混合不兼容的布局模式,,始终包含基于选项卡或基于容器的布局的内容区域,不要省略内容区域或混合不兼容的布局模式,必填部分；元素 ID：2a、2e、2b、2c、2d,enterprise-vue-refiner/data/global-layout-rules.csv#DET-007
DET-008,DET,global,detail-page,需要选项卡容器，默认情况下后面有元素 10,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容选项卡容器 且 规则 = 选项卡容器，则默认情况下需要元素 10,则需要Tab容器；元素 5（水平制表符）可以隐藏；默认情况下紧随元素 10（水平选项卡按钮）；可以配置下面的容器和卡,否则不要省略选项卡容器或破坏元素 10 默认以下行为,,始终渲染选项卡容器；默认显示元素10个按钮；允许隐藏元素 5,不要省略选项卡容器或破坏元素 10 默认以下行为,必需的元素（2a）；元素 5 可选可隐藏；元素 10 如下,enterprise-vue-refiner/data/global-layout-rules.csv#DET-008
DET-009,DET,global,detail-page,左树槽默认为具有 3 级最大深度的垂直选项卡,,default,alignment,如果 页面类型 = 详情页 且 对象 = 详情页内容左侧树槽垂直选项卡 且 规则 = 左侧树槽默认为具有 3 级最大深度的垂直选项卡,则左树槽默认为垂直选项卡样式；默认情况下，元素 9（左侧选项卡按钮）紧随其后；点击切换右侧内容区域；文本溢出显示省略号；建议最多 3 个级别；支持自定义样式替换,否则不允许超过 3 层嵌套或让文本溢出而没有省略号,3 levels max,使用最多 3 层嵌套的垂直选项卡；显示文本溢出的省略号；启用右侧内容区域切换,不允许超过 3 层嵌套或让文本溢出而没有省略号,可选元素（2e）；默认紧随元素 9,enterprise-vue-refiner/data/global-layout-rules.csv#DET-009
DET-010,DET,global,detail-page,需要折叠面板容器，并带有以下元素 6 和 7,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容折叠面板容器 且 规则 = 需要折叠面板容器，且后面带有元素 6 和 7,则需要Collapse panel容器；支持展开/折叠；默认情况下跟随元素 6（折叠标题）和 7（折叠按钮）,否则请勿无故省略折叠面板容器或隐藏元素 6 和 7,,始终渲染具有展开/折叠行为的折叠面板容器；默认显示元素 6 和 7,不要无故省略折叠面板容器或隐藏元素 6 和 7,必需的元素（2b）；默认情况下紧随元素 6 和 7,enterprise-vue-refiner/data/global-layout-rules.csv#DET-010
DET-011,DET,global,detail-page,折叠面板内部插槽支持添加组件或嵌套容器,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容折叠面板插槽 且 规则 = 折叠面板内部插槽支持添加组件或嵌套容器,则折叠面板容器槽可以添加组件（表单表格等）或嵌套折叠面板容器,否则请勿将非组件元件直接放入插槽中而不进行包裹,,使用插槽渲染表单/表格或递归嵌套折叠面板容器,请勿将非组件元件直接放入插槽中而不进行包裹,可选元素（2c）；支持递归嵌套,enterprise-vue-refiner/data/global-layout-rules.csv#DET-011
DET-012,DET,global,detail-page,自定义插槽支持带有样式参考的卡片或容器,card,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容自定义槽卡容器 且 规则 = 自定义槽支持具有样式引用的卡或容器,则Custom slot可以渲染卡片（参考首页卡片组件规范）或者容器（进度条折叠面板）；容器行为符合 2a 和 2b 规范,否则请勿使用偏离页面卡片组件规格的任意卡片样式,,使用遵循 2a/2b 交互规则的页面卡组件样式或容器渲染卡,请勿使用偏离页面卡片组件规格的任意卡片样式,可选元素（2d）；卡片参考页面卡片组件,enterprise-vue-refiner/data/global-layout-rules.csv#DET-012
DET-013,DET,global,detail-page,将水平选项卡限制为 10 个，最大宽度为 142px；多级转到左侧插槽,,default,width,如果 页面类型 = 详情页 且 对象 = 详情页内容水平制表符 且 规则 = 将水平制表符限制为 10 个，最大宽度为 142 px；多级转到左侧插槽,则水平选项卡只是单级的；多级选项卡位于 2e 左侧垂直槽中；最多 10 个选项卡；每个选项卡宽度最大 142px,否则不允许多级水平选项卡或超过 10 个选项卡或选项卡宽度超过 142px,10 tabs|142px|single level only,使用每个选项卡的最大宽度 142px 和文本溢出省略号；限制为 10 个选项卡；将多级选项卡路由到左侧树槽,不允许多级水平选项卡或超过 10 个选项卡或选项卡宽度超过 142px,可选元素（5）；可隐藏的,enterprise-vue-refiner/data/global-layout-rules.csv#DET-013
DET-014,DET,global,detail-page,折叠面板标题为必填项，最多 10 个字符,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页折叠面板标题箭头 且 规则 = 折叠面板标题需要最多 10 个字符,则需要折叠面板标题；默认情况下遵循展开/折叠箭头；标题不得超过 10 个字符,否则不要省略折叠面板标题或允许无限制的标题长度,10 characters max,对于超过 10 个字符的标题使用文本溢出省略号；始终显示展开/折叠箭头,不要省略折叠面板标题或允许无限制的标题长度,必需的元素（6）；默认情况下跟随箭头,enterprise-vue-refiner/data/global-layout-rules.csv#DET-014
DET-015,DET,global,detail-page,折叠面板按钮仅响应当前面板，主按钮位于最右侧,button,default,alignment,如果 页面类型 = 详情页 且 对象 = 详情页折叠面板按钮编辑审核 且 规则 = 折叠面板按钮仅通过最右侧的主按钮响应当前面板,则折叠面板按钮仅响应当前面板；支持单模块编辑或预审等业务特定按钮；最右侧的主按钮,否则不要让折叠按钮影响其他面板或将主按钮放置在非最右侧的位置,,按钮操作范围仅限于当前面板；将主按钮放在最右侧,不要让折叠按钮影响其他面板或将主按钮放置在非最右侧的位置,可选元件（7）；支持添加业务特定按钮,enterprise-vue-refiner/data/global-layout-rules.csv#DET-015
DET-016,DET,global,detail-page,标准模板提供具有流程布局的表单组件,form,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容表单组件 且 规则 = 标准模板提供具有流程布局的表单组件,则标准模板提供了具有流式布局的表单组件；可以通过 2d 自定义插槽替换（请参阅 2d 规格）,否则不要使用标准形式的非流布局或偏离 2d 替换规则,,使用流式布局的标准表单组件；通过 2d 插槽交换自定义样式,不要使用标准形式的非流布局或偏离二维替换规则,可选元件（8）；可通过 2d 插槽更换,enterprise-vue-refiner/data/global-layout-rules.csv#DET-016
DET-017,DET,global,detail-page,页面底部的左侧树选项卡按钮不浮动，主选项卡按钮位于最右侧,,default,alignment,如果 页面类型 = 详情页 且 对象 = 详情页左侧树槽按钮 且 规则 = 页面底部的左侧树选项卡按钮非浮动，主按钮位于最右侧,则左树选项卡按钮作用于2e左树槽层；位于页面底部；非浮动；可隐藏的；单击刷新当前页面或打开新页面；支持添加按钮；主要在最右边,否则不要浮动左树按钮或让它们影响非树图层,,将按钮放置在页面底部，不浮动；将点击操作范围限制为页面刷新或新页面导航；最右侧的主按钮,不要浮动左树按钮或让它们影响非树图层,可选元件（9）；可隐藏的,enterprise-vue-refiner/data/global-layout-rules.csv#DET-017
DET-018,DET,global,detail-page,当内容超过一屏时，水平选项卡按钮会浮动,,default,alignment,如果 页面类型 = 详情页 且 对象 = 详情页选项卡容器按钮浮动 且 规则 = 当内容超过一屏时水平选项卡按钮浮动,则水平选项卡按钮作用于2a选项卡容器层；位于选项卡容器底部；页面内容超过一屏时浮动；可隐藏的；单击刷新页面或在页内导航；主要在最右边,否则 当内容适合一个屏幕时不要浮动按钮或隐藏最右侧位置的主按钮,,仅当内容超出视口时才浮动按钮；不需要的时候隐藏起来；最右侧的主按钮,当内容适合一个屏幕时不要浮动按钮或隐藏最右侧位置的主按钮,可选元件（10）；可隐藏的；滚动溢出时浮动,enterprise-vue-refiner/data/global-layout-rules.csv#DET-018
DET-019,DET,global,detail-page,内容容器之间需要分隔符,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页内容区域容器分隔符分隔符 且 规则 = 内容容器之间需要分隔符,则默认情况下两个内容容器之间必须添加分隔线,否则 如果没有明确的原因，请勿省略内容容器之间的分隔线,,在相邻内容容器之间呈现分隔符/分隔符,没有明确原因，请勿省略内容容器之间的分隔线,必填元素 (14),enterprise-vue-refiner/data/global-layout-rules.csv#DET-019
DET-020,DET,global,detail-page,底部操作栏检查提示槽可选,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页底部操作栏检查提示 且 规则 = 底部操作栏检查提示槽是可选的,则检查项提示槽支持复选框文本链接和展开更多；放置在底部操作栏中的按钮之前,否则不要将检查提示放置在按钮之后或底部操作栏之外,,根据需要在操作按钮之前渲染带有复选框/链接/扩展更多的检查提示,不要将检查提示放在按钮之后或底部操作栏之外,可选元素（3a）；支持复选框/文本链接/扩展更多,enterprise-vue-refiner/data/global-layout-rules.csv#DET-020
DET-021,DET,global,detail-page,页面级浮动操作按钮，最多 7 个可见且更多溢出,button,default,alignment,如果 页面类型 = 详情页并 且 对象 = 详情页底部操作栏按钮浮动更多并 且 规则 = 页面级浮动操作按钮最多7个可见和更多溢出,则就需要Page级按钮；浮动显示；单击刷新当前页面或打开新页面；最多 7 个可见； extras 折叠成 More；支持按钮组；主要在最右边,否则不要显示超过 7 个按钮或将主按钮放置在非最右侧的位置或删除浮动行为,7 buttons max,直接显示最多7个按钮；将additional 包装到More 溢出中；浮在底部；最右侧的主按钮,不要显示超过 7 个按钮或将主按钮放置在非最右侧的位置或删除浮动行为,必需元素 (12)；支持按钮组,enterprise-vue-refiner/data/global-layout-rules.csv#DET-021
DET-022,DET,global,detail-page,执行严格的三层容器嵌套结构,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页容器嵌套结构布局 且 规则 = 强制执行严格的三层容器嵌套结构,则页面结构必须遵循三层：第一层（顶层容器）定义骨架和导航；第 2 层（内容容器）组织内容块；第三层（内容单元）保存最终的文本/图像/交互,否则 请勿跳过嵌套层或添加第 4 层或将第 3 层容器嵌套回第 1 层,,始终按照 Layer1 > Layer2 > Layer3 的顺序嵌套容器；切勿跳过图层或添加额外的级别,不要跳过嵌套层或添加第 4 层或将第 3 层容器嵌套回第 1 层,三层严格结构,enterprise-vue-refiner/data/global-layout-rules.csv#DET-022
DET-023,DET,global,detail-page,第 1 层顶级容器包括选项卡/折叠/水平导航容器,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套第 1 层顶级容器类型 且 规则 = 第 1 层顶级容器包括 tab/collapse/horizontal-nav 容器,则第 1 层顶层容器类型：选项卡容器、折叠面板容器、水平导航容器、树形菜单容器、拆分容器,否则不要在顶层使用未定义的容器类型,tab container|collapse panel container|horizontal nav container|tree container|tree menu container|split container,仅使用第 1 层定义的容器类型,不要在顶层使用未定义的容器类型,第一层定义页面结构和导航模式,enterprise-vue-refiner/data/global-layout-rules.csv#DET-023
DET-024,DET,global,detail-page,第 2 层内容容器类型包括选项卡/折叠/树/标题/多列容器,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套第 2 层内容容器类型 且 规则 = 第 2 层内容容器类型包括tab/collapse/tree/title/多列容器,则是第 2 层内容容器类型：选项卡容器、折叠面板容器、树容器、标题容器、多列容器、水平导航容器,否则不要在第 2 层使用未定义的容器类型,tab container|collapse panel container|tree container|tree menu container|title container|multi-column container|horizontal nav container,仅使用第 2 层定义的容器类型,不要在第 2 层使用未定义的容器类型,第 2 层组织内容块,enterprise-vue-refiner/data/global-layout-rules.csv#DET-024
DET-025,DET,global,detail-page,第 3 层内容单元类型包括多列/折叠/选项卡/标题容器,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套第 3 层内容单元类型 且 规则 = 第 3 层内容单元类型包括多列/折叠/选项卡/标题容器,则是第 3 层内容单元类型：多列容器、折叠面板容器、选项卡容器、标题容器,否则不要在第 3 层使用未定义的容器类型,multi-column container|collapse panel container|tab container|title container,仅使用第 3 层定义的容器类型,不要在第 3 层使用未定义的容器类型,第 3 层保存最终内容元素,enterprise-vue-refiner/data/global-layout-rules.csv#DET-025
DET-026,DET,global,detail-page,选项卡容器允许的嵌套组合（第 1 层）,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套规则选项卡容器组合 且 规则 = 选项卡容器允许的嵌套组合（第 1 层）,则Tab容器（第 1 层）允许：tab>tab>multi-column/collapse-panel；选项卡>折叠面板>标题/多列；选项卡>树>折叠面板/多列；选项卡>树形菜单>折叠面板/多列；选项卡>标题>多列；选项卡>多列>标题；选项卡>水平导航>折叠面板,否则 请勿将选项卡容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,,仅当选项卡容器位于第 1 层时才使用定义的组合,不要将选项卡容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,见4.1集装箱规则速查表；第 1 层 = 选项卡容器,enterprise-vue-refiner/data/global-layout-rules.csv#DET-026
DET-027,DET,global,detail-page,折叠面板容器允许的嵌套组合（第 1 层）,collapse,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套规则折叠面板组合 且 规则 = 折叠面板容器允许的嵌套组合（第 1 层）,则折叠面板容器（第 1 层）允许：collapse>tab>title/multi-column；折叠>树>标题/多列；折叠>标题>多列；折叠>多列>标题,否则 请勿将折叠面板容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,,仅当折叠面板容器位于第 1 层时才使用定义的组合,请勿将折叠面板容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,见4.1集装箱规则速查表；第 1 层 = 折叠面板容器,enterprise-vue-refiner/data/global-layout-rules.csv#DET-027
DET-028,DET,global,detail-page,水平导航容器允许的嵌套组合（第 1 层）,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套规则水平导航组合 且 规则 = 水平导航容器允许的嵌套组合（第 1 层）,则水平导航容器（第 1 层）允许：nav>collapse>title/multi-column；导航>树>折叠面板；导航>树形菜单>折叠面板；导航>多栏>标题,否则 请勿将水平导航容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,,仅当水平导航容器位于第 1 层时才使用定义的组合,不要将水平导航容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,见4.1集装箱规则速查表；第 1 层 = 水平导航容器,enterprise-vue-refiner/data/global-layout-rules.csv#DET-028
DET-029,DET,global,detail-page,树容器允许的嵌套组合（第 1 层）,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套规则树容器组合 且 规则 = 允许的树容器嵌套组合（第 1 层）,则树容器（第 1 层）允许：tree>collapse-panel>tab-container；树>选项卡>折叠面板,否则 请勿将树容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,,仅当树容器位于第 1 层时才使用定义的组合,不要将树容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,见4.1集装箱规则速查表；第 1 层 = 树容器,enterprise-vue-refiner/data/global-layout-rules.csv#DET-029
DET-030,DET,global,detail-page,树形菜单容器允许的嵌套组合（第 1 层）,,default,logical-assertion,如果 页面类型 = 详情页 且 对象 = 详情页嵌套规则树菜单容器组合 且 规则 = 树菜单容器允许的嵌套组合（第 1 层）,则树形菜单容器（第 1 层）允许：tree-menu>tab>collapse-panel；树形菜单>折叠面板>标题,否则 请勿将树形菜单容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,,仅当树形菜单容器位于第 1 层时才使用定义的组合,不要将树形菜单容器（第 1 层）与未定义的第 2 层或第 3 层组合配对,见4.1集装箱规则速查表；第 1 层 = 树形菜单容器,enterprise-vue-refiner/data/global-layout-rules.csv#DET-030
